"PRENOM","NOM","DATES","IMAGE","BIOGRAPHIE"
"Diyana","AFSAR","(Belgium, 1987-)","DIYANA_AFSAR.jpg","Diyana Afsar is active in the visual art workshop of Creahmbxl. Diyana Afsar draws figures easily recognizable: their collected bodies move on a pair of endless legs. Another characteristic is: the details of the clothes, as the coat of the animals, are reproduced with a loving care of the detail. Her characters face us, their eyes on the edge of their faces, and they wear broad smiles, perhaps because they live in company. Diyana Afsar works with acrylic paint, felt pen or with pencils and she represents a lot of families, including famous or atypical, with a predilection for the crowned heads or the singer Ricky Martin. Her full-length portraits are accompanied by whimsical captions: the information has been remixed by the artist. Generous, Diyana Afsar offers to the others the sociability which transpires in her work. (Text: Créahmbxl, Anita Van Belle)",,,,,,,,,,,
"Yassir","AMAZINE","(Belgium, 1975- )","Yassir_AMAZINE.jpg","Yassir Amazine attended the classes of Luc Mondry and Nicole Babilas at La Clarière.His drawings are in ball point, black, red, green or blue. He sings or hums while drawing, and speaks rarely or not at all. In fact, is he singing? Is he drawing? Or is he running away? He never looks for a model for his drawings. Some subjects are repeated: sun, house and mosque, aeroplane, car, guitar. An apparent disorder but the paper is entirely covered (usually both sides), it all makes sense. Yassir Amazine has finished his drawing, and has stopped singing. The drawing begins its own life, it exists in its own right, nourished by the artist."
"Inès","ANDOUCHE","(Belgium, 1958-)","Ines_ANDOUCHE.JPG","For the ten years in her life she lived an itinerant life with her parents in Africa, principally in the Congo. In 1961 Inès return in Europe and attended several different institutions in Switzerland and then in France, where she joined Hemptinne Centre’s creative studio. She draws with great intensity. With strong gestures she tackles pictures in magazines, taking them over and giving them a new life. This apparently simple mental transfer dignifies the insignificant, the ordinary or even the ignored. Her univers probably conveys some memories of the culture of her childhood, today conducted by a strong artistic personality."
"Seyni","AWA CAMARA","(Senegal, 1939-)","Seyni_CAMARA.jpg","Seyni Awa has always contested ancestral prohibitions. She has displayed her eccentricity, her fantasies and the “evil” spirits inside her.  She makes fun of the rules and gives full rein to all her fantasies. In the yard in front of the house, she models her clay figures, half-women, half-monsters and produces other little laughing monsters. In a hole, the most rudimentary kiln imaginable, also in front of the house, she fires these creatures, which may reach up to one meter high."
"Aimé","BAHATI","(Rwanda, 1984-, lives in Belgium)","AIME_BAHATI.jpg","Aimé Bahati’s structures are carefully and meticulously built from materials recovered from here and there. The artist models his dreams in miniature. Carrying a physical handicap, he imagines means of locomotion, helicopters, planes, boats that would facilitate his movements and relieve his mother. He also invented luxurious villas with subtle and elegant decorations. Aimé Bahati fled Rwanda for Europe with his mother in 1995. He has been living and working in Liège since.",,,,,,,,,,,
"Carol","BAILLY","(USA, 1955-)","Carol_BAILLY.jpg","An American who emigrated to Switzerland, Carol Bailly started to draw as an autodidact using strong, acid colours in Indian ink, gouache and coloured crayons.  She created sketches filled with lavish details, with women at the centre of her narrative.  She gives them a voice which can be humorous, sarcastic or even tragic.  Frida Khalo, the archetype of the female artist, occupies a preponderant place in her compositions; she plays the role of the artist’s muse and alter-ego."
"Umberto","BERGAMASCHI","(Milan, 1954-)","BERGAMASCHI.jpg","The habit of putting a circle round his subjects arose by chance during the exploratory phase when he was absorbed in copying a coin. Umberto Bergamaschi got great inner satisfaction from it and has never given up the circular shape. Each thing is presented as a pure effigy, without depth, in a foetal universe where space and time are banished. This opting for abstraction and avoidance of reality reflect his tendency to take refuge in a silent universe.He works in the Andrea & Michele painting studio."
"Ariane Bergrichter","(Germany, 1937-Belgium, 1996)","ARIANE_BERGRICHTER.jpg","Here is a world teeming with ballpoint pens and felt tip pens, cafés, people seated at tables, windows with a view on the street, tram stops, passersby and artists, old ladies with small dogs straining at the leash, waiters and workers. “It’s simply crazy the number of tiles I need…” says a roofer amongst the tumult of images of drawings sketched from life in the heart of Brussels at the end of the 1980s, beginning of the 1990s. “It’s simply amazing …”, the number of sketches, beer coasters, bits of sticky paper, the hours spent observing the world go by in bars and assembling it all together, so that Ariane Bergrichter could turn the complex psyche of her life into a work of art. When she passed away in 1996, there were so many written notes and sketches that bore witness to how difficult her life had been. Her daughter stuffed them all into a suitcase and, some 20 years later, they emerged to reveal this remarkable work. In 2018, the assembled drawings of Ariane Bergrichter were exhibited for the first time at the American Folk Art Museum in New York. Now, with SMILE. I LOVE IT! in 2022 the ART ET MARGES MUSEUM exhibited the first monographic exhibition of this artist’s work.",,,,,,,,,,,
"Paul","BLOCKX","(Belgium, 1961–2015)","Paul_BLOCKX.JPG","The graphic work of Paul Blockx immerse the spectator into a world of pain. The artist imposes us, in a strong way and frankly, the hell of his life, the psychic suffering which he is subjected for several years. For him, as for many artists, creation means a release, a way of shouting his pain and of transcending it. He offers us a strong and authentic work which is a reflection of the author’s soul and which contains a symbolic part of his intimate story. Sometimes shocked, sometimes moved, sometimes upset by the message of this self-portrait, no visitor can remain uncaring in front of this work-mirror."
"Anacleto","BORGHI","(Italy, 1921-2008)","Anacleto_BORGHI.jpg",
